times,startx,starty,endx,endy,velocity
1.167777778,0.038931433,0.114649154,0.029344258,0.128492208,0.147852587
1.169444444,0.012088236,0.072314804,0.009110307,0.060835692,0.193179798
1.171666667,0.018008523,0.075759806,0.008499073,0.074516944,0.116639096
1.173333333,0.042134221,0.129030011,0.072752837,0.120601674,0.174544838
1.173333333,0.033227203,0.084812597,0.017835269,0.075788667,0.117425601
1.175833333,0.033086887,0.112417141,0.029979169,0.106232475,0.124588095
1.1775,0.026920512,0.075808053,0.003178139,0.062214124,0.148329975
1.179444444,0.029812647,0.119173927,0.056740928,0.072338338,0.173188013
1.180555556,0.030780984,0.117053765,0.047499101,0.089059202,0.161908682
1.181944444,0.031304206,0.114587961,0.057089295,0.098474773,0.166100852
1.186388889,0.08094401,0.143782527,0.049548737,0.117327999,0.276257305
1.186666667,0.026384059,0.108881937,0.052482035,0.078444098,0.163280643
1.1875,0.031488975,0.110913289,0.069114023,0.115179765,0.140970241
1.193055556,0.038148751,0.119375222,0.029880067,0.10622849,0.175269931
1.194444444,0.040977131,0.115460905,0.051681766,0.120233056,0.196244882
1.195833333,0.036397312,0.106922264,0.036889877,0.059223343,0.193602337
1.195833333,0.009218167,0.083524691,0.065639395,0.089235374,0.156800448
1.196111111,0.017308831,0.073499737,0.0580863,0.07610567,0.181378973
1.197222222,0.062902781,0.08813623,0.064901319,0.088017483,0.012847457
1.197222222,0.027357152,0.082345792,0.006629846,0.083192718,0.127877683
1.198888889,0.035535622,0.123713452,0.030912172,0.131092613,0.121506203
1.199722222,0.029383095,0.076754625,0.045065951,0.07294959,0.142392817
1.201111111,0.032008825,0.061308924,0.052470859,0.087756095,0.206129069
1.201666667,0.027078303,0.077025515,0.044057905,0.109754158,0.230044389
1.2025,0.011617294,0.089043588,0.025248983,0.061499343,0.120389855
1.204166667,0.031711507,0.115340877,0.051912677,0.0961451,0.1007238
1.205277778,0.031558098,0.115526185,0.043636326,0.129871003,0.166278594
1.206111111,0.020365668,0.142727417,0.033740318,0.119194427,0.226616781
1.206944444,0.029673437,0.118604473,0.045597942,0.087574285,0.162432285
1.206944444,0.006573047,0.086628198,0.053648401,0.054660415,0.246811117
1.208055556,0.031049354,0.059155291,0.025366273,0.055471379,0.148667665
1.213333333,0.025518309,0.068035053,0.029671774,0.011172071,0.225799887
1.214722222,0.019366255,0.060852229,0.073549081,0.11557484,0.170185014
1.215,0.056339297,0.085532294,0.060630713,0.082524943,0.092930863
